,Text
1766,Máy này chơi liên minh được hong thế
1768,Quạt kêu lớn quá thì làm cách nào để khắc phục? Kêu e e rất khó chịu mặc dù chỉ mới khởi động chứ chưa mở gì
1769,1 lần sạc đầy dùng được mấy tiếng v b
1771,"Nhân viên phục vụ nhiệt tình ,có hướng dẫn kĩ, lại còn tiễn ra tận cửa, còn về máy thì đẹp  vừa đủ đối với những gì mình cần"
1773,b vào phần msi center pro tắt chế độ coolor bốt là đc nha bạn
1774,"Sao mua được giá 17tr690 ạ,mình cũng sinh viên"
1777,"Cảm nhận thấy pin rớt khá nhanh mặc dù bật chế độ tiết kiệm pin, tắt các ứng dụng chạy ngầm, giảm độ sáng màn cả tắt luôn led bàn phím...ac nhân viên tư vấn rất tận tình, chu đáo với lại cảm nhận chế độ bảo hành ở tgdd rất tốt"
1778,"dạ em mới mua máy hôm nay, máy rất êm và mượt nhưng sao mà máy tụt pin nhanh thế ạ"
1780,Máy này chưa có cập nhật window11 ad???
1781,https://www.youtube.com/watch?v=s3zbxlsQQfY
1782,Bản lể máy dùng có ổn định k bạn xoy có lỏng lèo k ạ
1783,"Máy bị đóm trắng này là sao ạ, mới mua được mấy hôm mà bị như này rồi. Mình phải làm sao ạ"
1784,"mình vừa nua được 1 ngày và vẫn còn bảo hành vậy mình đem ra thế giới di động nhờ nhân viên cập nhật window và bật ảo hoá(VT) cho mình thì có mất phí không ạ, nhận xét thì máy tụt pin khá nhanh kh biết có cách nào khắc phục không"
1801,"Chào anh/chị, Mình đang quan tâm sản phẩm nào ạ, anh/chị cho em xin tên sản phẩm để hỗ trợ tốt hơn cho mình nhé. Mong phản hồi từ anh/chị."
1816,Loa xài thỉnh thoảng bị rè với lỗi
1818,Ổn ko bạn? Mong phản hồi từ bạn?
1823,Máy tốt hoạt động trơn tru . Sản phẩm vượt qua mong đợi .NV nhiệt tình hiếu khách . Hài lòng về tất cả dịch vụ của tgdd
1825,Máy này bật VT như thế nào v ạ
1826,"Máy dùng rất tốt , rất ổn"
1828,ocê lalaalalala
1831,"Máy đẹp , mạnh"
1833,"Mới mua đc 1 tháng, nay cắm điện vào sạc. Nghe xẹc xẹc. Tắt nguồn hư luôn :)))"
1834,"Chạy chậm, nhanh hết pin"
1836,"Máy e mới mua hồi trưa, lúc chiều về xài thì còn ngon, chạy mượt nhưng có hơi nóng. Lúc sau e có tải về máy 1 phần mềm để học có hơi nặng thì máy bị lag, chạy chậm và máy có nóng hơn hồi nãy. Được 1 lúc thì e tắt hết tag r quay lại thì k còn lag nữa. E mong TGDĐ có thể hỗ trợ giúp e về tình trạng máy"
1837,Về mở lên chiến game ầm ầm mà
1839,Hiện đang dùng rất tốt.
1840,mình mua máy chưa tới 2 tuần nhưng đá fifa onl 4 thì thường xuyên bị giật khung hình
1841,San pham bao dam tot
1842,"Trải nghiệm không tốt. Lúc mua máy ngồi cùng nhân viên kĩ thuật cài máy cả tiếng không sao, vừa về đến nhà bỏ máy lên thì màn hình chớp giật liên tục, lại phải quay lên shop. 
Lên đến nơi, kĩ thuật kiểm tra báo sẽ đổi máy nhưng khu vực mình không còn hàng phải đợi đến 18h ngày mai mới có hàng gửi về.
Đổi máy mới nhưng cảm thấy hơi hoang mang với dòng máy này rồi. 30 củ liệu có xứng đáng? 
Thôi mai lên nhận máy dùng thử 1 thời gian rồi đánh giá tiếp."
1844,máy dùng rất oke
1845,"Máy tính sài ổn định, nhân viên nhiệt tình vui vẻ"
1846,Đổi máy mới lại bị y chang. Nản
1848,"nhìn 1 cách tổng thể, máy cấu hình tốt so với tầm giá. Chạy, và trải nhiệm game ở mức tốt. Tuy nhiên điển trừ là máy khá ngốn pin khi sử dụng ở các chế độ cân bằn hay silent ở các tác vụ face youtube, độ sáng full- âm thanh 50% đèn RGB full, thời gian sử dụng (từ(100-20%) khoảng 1,5 hoặc hơn 1 chút."
1850,"Pin còn hơi kém, còn lại rất tốt"
1851,"Máy mình mua dc 3 ngày, mà sạc cả ngày đêm pin chỉ nhận đến 95% là ko vào pin dc nữa. Kiểm tra pin chai thì như hình dưới, vậy là lỗi nguyên nhân do đâu, mong tgdd trả lời giúp"
1853,"Máy mới mua mấy tháng mà giờ mở lên có lúc bàn phím không ăn giờ lại đơ máy, mình muốn đổi lại máy khác được không ạ,"
1854,"Máy đầu xài nóng máy, tình trạng hay bị treo explorer, mà khi bị treo, thì end task cũng không được, chỉ mỗi restart lại máy. Đổi máy thì khắc phục đc tình trạng nóng máy, nhưng vẫn còn treo máy. treo máy đối với tác dụng vào drive trên máy tính. Trong khi không thực hiện tính năng gì quá cao siêu. Cảm thấy thất vọng với cấu hình này. Thua cái máy asus cũ của mình nữa."
1861,tất cả đều ổn
1862,Chưa cảm nhận nhiều về máy
1863,"Đã mua và sử dụng được 01 tháng, cảm giác hoàn toàn hài lòng so với giá tiền được giảm giá còn 24tr500, phải nói giá tiền trên thì con này vô đối. Chip R5800 và 6600M hoạt động ổn định, có thể nói là cân mọi game mà mình chơi như CSGO, Sniper Elite5… Nhiều người so sánh chip 6600M với RTX3060 nhưng thật sự chênh lệch là rất ít và quá trình sử dụng không thể nhận biết được, một điểm hơn là con GPU này có đến 8GB Ram, Ram laptop mặc định 2x8GB giúp máy chạy rất ổn định, mình chơi liên tục 2-3 tiếng mà ko có hiện tượng giật, lag khi out ra màn hình chính để thực hiện các thao tác khác (có thể có nhưng khựng rất ngắn, tất nhiên ko thể mượn như Iphone được)
Màn hình ~100% sRGB, khá là hài lòng
Tổng kết với giá tiền ~25 củ thì mình đã xuống tiền ngay ko do dự, nhưng với giá tiền gốc 28tr thì mình nghĩ sẽ chọn Dell G15 5515 R5800 + RTX3060"
1864,"Chơi game rất mượt , dù chơi game AAA lâu nhưng pin vẫn chắc chắn và máy rất mát"
1866,"Build tốt, ko ộp ẹp. Bản lề chắc chắn. Game liên tục nhưng nhiệt độ khá mát. Giá quá tốt ở thời điểm hiện tại."
1867,"Mình cũng mua con máy này nhưng chưa biết cách tối ưu hóa nó, bác có thể giúp mình k.Thanks"
1870,"Rất hài lòng với dịch vụ, nhân viên lẫn quản lý bên TGDĐ. Làm việc rất nhiệt tình🌷"
1874,"Phím nhẹ, êm. Màn hình rất nét. Máy dung ổn định lâu dài, ít nóng. Nếu có sáng bàn phím nữa thì quá ok"
1875,Sản phẩm tốt nhân viên nhiệt tình
1877,"Nhân viên nhiệt tình, thái độ phục vụ rất tốt. Máy dùng đến thời điểm hiện tại ok."
1878,Trước mắt máy dùng tốt
1879,Máy dùng mượt
1880,Máy mới mua nhưng có vẻ lag lắm nhanh nóng nữa
1882,Rất tốt cảm ơn điện máy xanh
1883,"Dùng tốt lắm 
Nếu mà tải Microsoft cho luôn thì càng tốt hơn"
1886,Nhìn chung là tốt. Nhưng pin hơi mau hết. Nhưng điều đó vẫn không ảnh hưởng.
1889,"Máy tính dùng BT, sạc pin hết nhanh chưa đc tốt"
1890,Nhân viên bên bạn hỗ trợ rất nhiệt tình
1892,"Sản phẩm rất đẹp, chất lượng ok, nhân viên nhiệt tình."
1893,Hài lòng về sản phẩm
1895,Vì mới mua nên máy vẫn rất tốt
1896,Đang sử dụng
1897,Âm thanh nghe rè ko chuẩn
1898,Máy tính dùng mượt mẫu mã của hãng đẹp
1899,Chăm sóc khách hàng rất tốt
1901,Máy nhanh hết pin chỉ có 3 tiếng đồng hồ
1902,"Sản phẩm tốt, chăm sóc khách hàng kém"
1903,Xử lí khá là chậm ạ
1906,SẢN PHẨM TỐT ĐÁNG TIỀN
1911,Máy chạy tốt. Đáp ứng tốt các nhu cầu sử dụng
1912,"Pin mau hết (chưa được 1h sử dụng). Bản lề phải gởi hãng bảo hành sau 3 tháng sử dụng.
Còn lại ổn!"
1913,"Rất tốt, thiết kế đẹp độ nhạt bàn phím tốt"
1914,"Máy của thế giới di động không có DEP/ABM của Apple. Không phù hợp cho khách hàng doanh nghiệp, sellers của thế giới di động kĩ năng hiểu biết về dịch vụ rất kém."
1915,"Máy nhanh, mượt. Mình lập trình mà mở toàn bộ app nhưng cpu cũng chỉ ở mức dưới 15%. Ngoại hình đẹp, cam rất nét. Về điểm số thì chip với cam 10 điểm, ngoại hình 9.9. Hiện tại chưa thấy gì để chê ngoại trừ giá hơi chát ^^"
1916,Ko phải nghĩ
1918,"Mới mua 15 tháng 7 đến hôm nay 23tháng 8 mở nhạc nghe thì thấy âm thanh bass loa trái đã rè hư rồi, nhắn hỏi bảo hành sao toàn nhận được trả lời qua loa nào mang máy đến kiểm tra rồi gửi hãng các thứ. Không hư hỏng thì đâu ai đi nói làm gì mà phải mang kiểm tra các thứ. Cái tôi cần là bên tgdđ giải quyết vấn đề máy hư hỏng do lỗi sản xuất như thế nào."
1919,Mua máy đã qua sử dụng nhưng chưa kịp sử dụng đã lỗi trả lại mất 10%
1920,"Sản phẩm tốt, giá rẻ. Mua ở đây rẻ hơn chỗ khác 2 triệu. Nên mua bạn nhé"
1922,"sản phẩm tốt, độ bền chờ thời gian sử dụng"
1924,Vừa mua về được 5 ngày thì lỗi trackpad không xài được phải đem đi bảo hành
1925,"Máy đẹp, xài mượt,"
1926,Thấy Chị Huy là cho 1 sao rồi đó!
1927,"Mac mới mua, mà khi dùng trong exel hay zalo đều không cách dc. admin cho e hỏi là bị sao ạ ? cho dù e đã xoá những phần mềm đó rồi cài lại rồi"
1932,Máy  rất ok
1934,"Từ ngày mua náy cảm thấy máy không xứng đáng với giá 4 mấy triệu. Lỗi và hỏng liên tục. Mới mua dùng chưa được 1 tháng thì lỗi màn hình phải đổi. Giờ lại mới phát hiện máy đang chạy mà kêu è è ở quạt hay ổ cứng không biết. Dùng tý là đã nóng cả máy lên rồi, pin thì nhanh hết. Nhờ kỹ thuật ko biết bao nhiêu lần rồi. Hối hận khi bỏ số tiền lớn ra mua mà mang cục tức về. Nói chung không nên mua cái máy này"
1936,"Dich vụ tốt, nhân viên vui vẻ, nhiệt tình"
1937,"Máy dùng rất tốt, mượt và rất khoẻ"
1938,Sản phẩm rất vừa ý!
1939,Bạn tư vấn rất tốt và nhiệt tình
1944,Phục vụ tốt
1945,"XPS mà ông bảo ""nhựa thừa"",  ""gia công kém"" thì tôi cũng đến cạn lời ông luôn 🤣"
1946,"Chất lượng gia công rất kém, có nhiều chi tiết nhựa thừa, không xứng đáng với số tiền bỏ ra để mua 1 sản phẩm cùng phân khúc với x1 carbon"
1947,ủa xps liên quan gì nhựa thừa carbon
1949,"Máy pin rất trâu, nhanh và mượt, hoàn thiện tốt. Bàn phím theo cảm nhận cá nhân là gõ không sướng tay lắm so với con thinkpad đang dùng. Về hiệu năng thì máy cũng tốt, tuy nhiên với lập trình viên dùng máy ảo nhiều thì hiện tại vẫn chưa tương thích 100%."
1950,"Thiết bị đầu tiên mua trong năm 2022 tại thế giới di động, cực kỳ ưng ý, sẽ giới thiệu bạn bè"
1951,"Mua máy 42. Hai hôm sau giảm giá còn 38. Như muốn đập đầu vào gối :((.
Máy pin nguyên ngày (Code và chạy máy ảo song song)
Được cái nhược điểm chí mạng là màn hình quá khó để vệ sinh. Mọi người nên dán màn hình luôn và ngay sau khi mua"
1952,máy giảm 38 ở web hay tại của hàng vậy ah
1954,"Đã sử dụng được gần 1 tháng và khá hài lòng về sản phẩm, máy chạy rất êm và mượt. Các bạn bán hàng nhiệt tình, chu đáo."
1955,"Hàng nguyên kiện, check imei của hãng Apple đều mới. Được bạn nhân viên trực tổng đài hỗ trợ mua hàng nhiệt tình, nhận hàng tại cửa hàng 121 Võ Văn Ngân,Tp Thủ Đức có bạn nhân viên giúp mở sản phẩm và hướng dẫn sơ bộ về máy có nghiệp vụ, rất ưng ý. Đáng nói chế độ bảo hành 1 đổi 1 trong tháng đầu tiên với lỗi sản phẩm nên rất yên tâm. Hoá đơn chứng từ đi kèm rõ ràng. Ra về có nhân viên hỗ trợ và ân cần. Yên tâm về sản phẩm, rất hài lòng về dịch vụ khách hàng của TGDĐ. Trong mùa dịch COVID-19 tại TpHCM căng thẳng nhưng cách bán hàng ở đây vẫn giữ tốt ở cách công đoạn, chính sách giá quá hợp lý."
1957,Mình mua mẫu Silver 16gb/512gb rất đẹp mình sẽ trãi nghiệm và viết đánh giá thêm 1 lần nữa!
1958,"Mua đúng lúc giảm giá 38.190.000đ. Nhân viên tư vấn nhiệt tình, giao máy nhanh mặc dù trời mưa.
Máy ngon."
1959,"Mới dùng lần đầu với Mac, Nhưng cảm nhận rất tốt, Nhanh và màn hình nhìn rõ hơn, Pin thì rất lâu. Chỉ có giá hơi cao."
1960,"Trên cả tuyệt vời phù hợp với lại các bạn web develop, rất hài lòng khi mua ở thế giới di dộng vì sự phục vụ nhiệt tình của các anh chị nhân viên."
1961,"Thời gian đầu dùng máy rất mát, sau này máy có nóng hơn nhưng phải nói rằng máy quá mượt."
1963,"Chào Ad, máy hay bị lỗi bộ gõ tiếng việt thì làm sao nhỉ"
1964,"Tôi mua sản phẩm này đang &sử dụng rất ok.Nhân viên ,kĩ thuật viên bách hóa vui vẻ hướng dẫn rất nhiệt tình.Nhân viên em Lợi và Nguyên rất ok.Xin cảm ơn"
1966,Mình tưởng máy bên ngoài phải có Seal thùng nữa chứ ?
1967,Máy ok là khách hàng thân thiết nên đc giảm. Mua ở đây khoảng hơn 100tr rồi. Sài cùng vs Magic Mouse 2 nữa rất tuyệt vời. Sẽ ủng Hộ lâu dài
1968,"mới mua máy tại chi nhánh an khê gia lai, do mới mua nên chưa trãi nghiệm nhiều được nên chưa thể nói thêm. nhưng anh chị nhân viên rất tốt nhất là anh đình thi 🥳"
1969,Tôi thì trải nghiệm bị ngược lại 100%. Máy về lỗi tùm lum. Gọi lên tổng đài trải nghiệm cũng chán luôn. Tôi mới mua cuối tháng 8. Sdt  xxxx859969
1971,"mua lúc sale còn gần 37tr. ko hiểu sau gập màn hình hơi khựng, ko nở 1 tay được"
1972,Mua đúng đợt giảm giá. Sản phẩm không có gì để bàn cãi.
1973,"Mua máy Macbook pro bản cao hơn 40tr, nhưng chưa đc trải nghiệm chọn vẹn dù chỉ 1ngày, máy được mua từ đầu tháng 8, đến giờ là 2 tháng rồi. Vấn đề bảo hành cũng rất tệ."
1974,"Máy chạy rất nhanh và êm, hầu như không nghe tiếng quạt kêu. Chạy tốt các ứng dụng và cả game luôn. Chỉ có 2 cổng USB Type-C nên hơi ít."
1975,"Máy đẹp, nhanh, touchpad mượt, nhỏ gọn tiện thợi, âm thanh hay. Màn hình sắc nét và rất đẹp."
1976,Bạn mua được lúc giá bao nhiêu vậy?
1977,"Đã mua 2 chiếc tại đây, 1 chiếc 8gb và 1 chiếc 16gb, bản 16gb mua đc đúng lúc giảm giá, rất hài lòng"
1978,Anh mua vào dịp nào mà có giá đẹp thế?
1979,cho e xin in4 fb
1980,Máy Rất tốt đẹp
1981,"Máy rất chuẩn, bạn nhân viên ở Thái Hà hỗ trợ tốt. Mua đợt giảm giá quá tốt. Sản phẩm sản xuất năm 2021, hoá đơn đầy đủ"
1982,"Tuyệt giời, từ nhân viên phục vụ đến sản phẩm 😌"
1983,"Máy chạy nhanh , lập trình, build app/web nhanh , tiết kiệm thời gian, đáng đồng tiền
Chỉ tiếc là màn hình chỉ 13.3"" , sử dụng không thoải mái lắm"
2005,Sử dụng hơi khó vì lần đầu sử dụng chưa quen như được cái chạy rất nhanh và mượt ạ thấy rất thích
2006,"Máy đẹp, tốt và hỗ trợ nhanh. Nhưng mình chưa nhận được quà kèm theo máy nè"
2007,"Máy đẹp dùng oke , nhân viên phục vụ nhiệt tình"
2008,"MacOS rất mượt, mình là người dùng Windows lâu năm nên mất khoảng 2 tuần mới quen thuộc hoàn toàn. Màn hình rất sắc nét và đẹp, độ sáng khá cao. Trackpad di cực sướng, sau 1 tuần sử dụng mình đã không cần dùng chuột nữa. Hiệu năng rất mạnh, các tác vụ từ chạy máy ảo, edit video đều rất ổn định, máy lại mát và hiếm khi quá 60 độ dù không có quạt. Trong khi đó pin lại cực kỳ trâu, dùng tác vụ nặng vẫn được 9 tiếng onscreen, không cần mang theo sạc mỗi khi ra ngoài làm việc. Có điều nâng cấp RAM SSD hơi tốn tiền"
2009,Sản phẩm và dịch vụ tốt
2011,"Quá tuyệt vời. Máy mát, chạy mượt mà mọi tác vụ"
2020,"Máy bị lỗi bàn phím, có 1 phím Shift không ấn được"
2021,"Máy dùng tốt, không vết xước"
2027,Màu máy vi tính rất đẹp. Máy chạy tốt và nhanh. Dịch vụ bán hàng tốt và nhân viên bán hàng rất chuyên nghiệp và tinh tế.
2028,"Rất ok, máy xịn, khởi động nhanh, màn hình đẹp, phím bấm to và dễ nhìn"
2029,Sản phẩm rất tốt.
2030,Cảm giác rất tốt
2032,"1. Màn hình ám vàng rất nặng, dù đã tắt chế độ ban đêm. Mỗi lần dùng máy là mình phải cắm màn rời để dùng. Ngay cả cái logo khởi động cũng vàng, chứng tỏ phần cứng có vấn đề chứ không còn là do cài đặt nữa. Màn vàng đến mức khó chịu chứ không còn để làm dịu mắt. Mình có được đổi máy không 1-1 không? 
2. Máy lâu lâu bị lỗi không phản hồi thao tác, chỉ có ép tắt máy rồi mở lại mới dùng tiếp được. (Cái này bị từ lúc giao máy, nhân viên giao cũng chật vật xử lí vấn đề này). 
3. Màn hình lâu lâu lại bị chớp tắt như kiểu nguồn điện không ổn vậy.
4. Quạt tản nhiệt rú liên tục, dù chỉ đang gõ PowerPoint ?!
5. Màn 2.8K không được tối ưu cho phần mềm (chữ rất nhỏ)."
2038,Trước khi mua mình có tham khảo một số bạn làm YouTube đánh giá không cao về MacBook Air M2 nhưng sau 2 tuần trải nghiệm thật sự không hối tiếc về quyết định của mình.
2041,Siêu đỉnh. Đáng đồng tiền bát gạo
2042,bởi vì bạn chưa dùng mấy máy khác thôi
2044,"Lần đầu xài mac, cảm thấy rất mượt, chuột có nhiều tính năng rất hay"
2050,"quá tê., cam lỗi, lỗi sạc pin không đầy, sản phẩm tệ vượt xa mong muốn"
2051,Mây nóng ngay lúc khởi động
2052,Pin sạc không đầy là máy đang ở chế độ bảo vệ pin tránh hiện tượng chai nhanh. Bác vào bios hay vô msi center mà tắt tính năng đó thôi
2053,"máy nóng muốn phỏng tay, dù chỉ mới mở lên. pin thì được 4 tiếng, ko được 8-10h như quảng cáo. khe touchpad hở quá lớn nên bụi hay rác dễ lọt vào. còn lại thì ok, máy mạnh, chạy photoshop, chơi game nặng các kiểu vivu, nhưng phải ngồi phòng máy lạnh nha, ngồi ngoài là nóng phỏng tay ko chơi được đâu."
2054,"Máy sài rất tốt, cầm lên so với Macbook Air M1 mà thấy còn nhẹ hơn luôn. Chơi game thoải mái chỉ có điều là nên có thêm đế tản nhiệt với ngồi máy lạnh, do ko chuyên gaming nên tản nhiệt máy bình thường, khi chơi phải mở chế độ Cooler Booster. Đổi từ chiếc ROG Zephyrus Ryzen 5 qua thấy hài lòng hơn vì mình cần nhẹ, cấu hình cũng hơn xíu, chỉ có màn 60Hz là chơi chưa bằng, gắn màn hình ngoài thì oke hơn"
2055,Máy này nâng cấp thêm thanh Ram 8GB được không vậy
2056,🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰
2057,"Máy tốt,nhân viên tư vấn và bộ phận kỹ thuật nhiệt tình"
2059,hơi lag xíu xíu à
2060,"Chất lượng máy  tốt
Nhân viên phục vụ nhiệt tình thân thiện"
2062,Máy chạy rất mượt
2066,Pin dùng hết nhanh
2067,"Máy dùng tốt, mượt mà, build ổn chắc chắn, nhân viên tư vấn nhiệt tình, chỉ là quạt max speed thì tiếng sẽ hơi ồn"
2068,ông nâng lên 16gb chưa
2069,Máy chạy rất tốt nên mua nhé.
2070,Toi rat hai long doi ngu tu van ban hang ...phuc vu tot..cô găng phat huy de khach hang tin cay
2071,Khá ổn sắp tới nâng ram
2072,"Sản phẩm rất tốt 
Quản lý và nhân viên rất nhiệt tình hỗ trợ"
2073,"Máy tốt, cấu hình ổn, hàng mới"
2074,Dịch vụ tốt.
2075,"Máy mỏng nhẹ rất phù hợp nhu cầu, tiếc 1 điều là không có cổng HDMI phải mua thêm cáp chuyển nhưng mỏng nhẹ mà phải chịu thôi. Màn hình 16:10 nên hiển thị nhiều nội dung hơn."
2076,"Máy chạy mượt, ổn định, tuy nhiên mình chưa khám phá hết chức năng"
2077,"Máy mỏng nhẹ nhưng pin rất trâu phù hợp với nhu cầu, tuy mỏng nhẹ nhưng bản lề rất chắc và cứng cáp, điểm trừ duy nhất là không có cổng HDMI phải mua thêm cổng chuyển nếu có nhu cầu trình chiếu qua cổng HDMI, nên cho 4 sao thôi."
2087,san pham tot. tư vấn khá ổn. mỏng nhẹ.
2088,Dùng không lâu bị nóng máy. Cảm ứng vân tay không chắc. Bàn phím số bất tiện
2089,"Máy chắc khỏe đẹp.Màng hình quá ok.Pin trâu, làm việc bình thường 7-8h, chơi game 3-4h. Khi sử dụng kê nghiêng máy lên không nóng. Giải trí chơi game cần có kệ tản nhiệt."
2090,"Mới dùng được 10 ngày, trước mắt thấy nhẹ, vỏ kim loại, sang trọng lúc mua là 30,999,000 VNĐ. chạy mượt, ko đau mắt, sắc nét."
2091,"Máy hay nóng, xử lý chậm"
2092,Tuyệt Vời! 5⭐
2094,Máy chạy 2h là nóng hổi luôn dù mình chỉ có dùng word để gõ văn bản
2111,"Sản phẩm tốt, bán hàng tốt; hy vọng khâu sau bán hàng tốt!"
2112,"máy xài rất ok , nhưng tuy mua hàng cũ huy cũng đưa hơn 21tr tiền mặt nhưng không khuyến mại hay tặng gì hết thì hơi buồn tgdd, bên sellphone, fpt mua hàng củ gía trị cao đều có tặng quà hết hơi buồn tgdd"
2114,"Ứng dụng word, excel, powerpoint ko vào được ạ"
2116,Nhiệt độ này thì bạn nên mua đế tản nhiệt nha.để lâu hư máy à
2118,Dùng rất tốt
2119,"khá ổn áp tuy nhiên chip r7 có vẻ màu nhạt thì phải, ko dc đậm nét như core 7, 1 phím Esc hơi cấn nên hơi khó chịu tí
cảm giác sài chơi game khá trơn tru, cơ mà win hơi lỗi lúc đầu chơi bị out về sau cài lại chơi bth dc rồi, tác vụ cảm giác hơi delay 1 xíu so với core 7. mình sài dc 3 ngày nch ổn trong tầm giá, card mạnh CPU dao động 80 85 độ GPU max tầm 75 78"
2124,"Khum hiểu kiểu gì nhưng mà phải update hoài, cáu :)))"
2125,Trải nghiệm tốt
2126,"Lúc mình mua, họ cài cho mình bản office home student mà"
2127,"Tạm ổn, nhưng so với phiên bản cũ thì không bằng"
2128,Trải nghiệm của máy rất tốt.
2129,Không có quà gì ngoài cái balo! Đến office cũng phải mua mới có! May mà mình có bản quyền office 365
2130,Dạ chào chị . Dạ cảm ơn chị  đã tin dùng sản phẩm bên em . Mong được chị ủng hộ vào những lần tiếp theo ạ 
2131,Cảm giác đê mê
2132,Sản phẩm chạy rất mượt
2133,"chào anh, dạ không biết em có thể hỗ trợ gì cho anh không ạ !Mong phản hồi từ anh"
2134,Lâu lâu hơi lỗi
2136,"Ny mình dùng được 2 tháng r, máy chạy khá ổn, edit bằng pts khá ổn k bị chậm, pin thì thì chạy làm việc văn phòng thông thường sẽ được lâu còn chạy thêm loa hay apps nặng thì sẽ tụt nhanh hơn. Mua lúc máy được giảm giá nên còn hơn 19tr"
2137,Đang xài tốt
2150,"nhân viên rất nhiệt tình 
màn hình thì màu không đẹp"
2152,"Máy chạy trơn mượt, độ hoàn thiện 10đ. Tuy nhiên,  thời gian sử dụng pin không ấn tượng lắm"
2153,"Máy đẹp, mạnh"
2154,"lỗi card wifi từ khi mua máy đến giờ đem ra bảo hành mà vẫn vậy 
dùng máy được hơn 2 tháng mới đánh giá"
2155,"Máy chạy êm tản nhiệt tốt, đáp ứng nhu cầu sử dụng của mình."
2156,"Máy mạnh, nên nâng lên 16gb ram xài quad channel ram"
2158,Giá này mà vào 3060 thì ngon hết sảy luôn. Máy xài ok. Có điều win 11 còn nhiều hạn chế. Các phần mềm vẫn chưa được win 11 hổ trợ.
2160,Sao máy mình mới mua dùng bị đau mắt nhỉ mọi người có ai bị không
2162,"Máy ổn, đẹp,"
2176,"Nhân viên vv, chu đáo , tận tình"
2177,tại bạn không có bảo quản kĩ máy với xài ẩu và tải nhiều ứng dụng crack nên máy mới nóng chứ mình xài có bị gì đâu
2178,Hàng này o kiên Giang còn ko ạ
2179,"Mới nhận Laptop hồi sáng này, được anh quản lý giao hàng tại chốt KS, máy chạy êm, người giao nhiệt tình, trong các dòng MSI tầm trung thì nói chung là máy này tốt nhất, vừa túi tiền."
2180,Chơi game không cắm sạc là cái thứ 1 còn về nhiệt độ laptop mà 60 70 độ là chuyện bình thường còn nếu k kĩ thì chỉ có bạn để ở chỗ kín và ko biết cách bảo quản
2181,"Chào chị, dạ chị cần hỗ trợ gì ạ! Mong phản hồi từ chị"
2182,chơi game tệ mấy bạn quang cáo như thật . mở 1 xiu nóng rang cái máy
2183,Đối với tôi thì máy tốt
2189,Mới đầu dùng thì thấy ổn sang hôm sau máy tự reset và kh lên được phải reset cứng nhiệt độ khi không sử dụng máy nhảy cao (72° quạt ở mode auto) sau khi sleep và mở máy lên thì máy không nhận code phải reset máy thêm lần nữa sau khi sài tầm 2 tiếng thì không mở được setting và acer care phải restart mới mở được. Trackpad chuột bên trái khi nhấn phải nhấn sâu và bị lõm hơn bên phải
2191,"Mình sử dụng được 1 tuần r, mới mua có sẵn Win 11. Tuy nhiên Win11 cài phần mềm bị lỗi nê mình nhờ tgdd hạ xuống Win10 giờ sử dụng rất ổn. Máy mạnh, nhanh khi dùng đồ họa, bản vẽ. Ko chơi game nên ko biết đánh giá sao."
2192,"Sản phẩm chất lượng , nhân viên  thân thiện nhiệt tình"
2194,"Máy xài êm ko e , chị tính mua cho con nó học đồ họa, mà ko biết mua máy nào xài êm"
2195,"Để cấu hìnn thấp chơi liên minh huyền thoại vẫn giật , máy mới mua được 3 ngày"
2198,Nhiều lúc dùng Photoshop bị đơ
2200,"Sản phẩm có lỗi màn hình 2 3 lần. Nhưng trở lại bình thường, không biết lỗi này sẽ có bị vấn đề nặng về sao hay không"
2201,"Máy mạnh, mượt mà. Cần thời gian để tối ưu Win 11. Nhân viên nhiệt tình l, giải thích kỹ càng"
2205,Mới dùng được 15 ngày đã hư màn hình rồi
2206,Máy như lìn bấm cái cứ chạy là sao
2207,Máy vẫn được bảo hành theo chính sách 3s1 của acer hay bảo hành theo chính sách cuat tgdd ạ ?
2220,Không gọi được bảo hành
2221,Khá tốt đôi khi hơi lag nhưng thực trạng là ổn
2222,"máy dùng bàn phím có bị nóng, quạt bị kêu nhiều k bạn"
2224,Quá mượt mà
2225,dạ em cảm ơn anh/chị đã quan tâm và ủng hộ sản phẩm bên em. hy vọng anh/ chị tiếp tục ủng hộ những sản phẩm khác bên em ạ.
2236,Mày sử dụng hiện tại rất tốt
2241,Mong cải thiện loa lớn hơn xíu và sẽ có chức năng khoá cảm ứng còn lại ok ạ
2242,đối với tui thì tui thấy làm nặng ko thể làm 🥲 nhanh hết pin lắm mọi người
2243,Pin hơi yếu. Spen không nhạy lắm.. Màn hình cấu hình ok.
2245,Rất xịn sò 💋
2248,"Sản phẩm xài rất mướt, hình ảnh sắc nét, âm thanh rõ ràng nhưng có điều phần trăm pin mau hết"
2256,"Sản phẩm khá ổn , đặt hàng và giao hàng nhanh"
2257,Dạ chúc anh chị có nhiều trải nghiệm tốt với sản phẩm và sẽ luôn ủng hộ TGDĐ/ĐMX nhé.
2258,Sản phẩm dùng tốt mượt
2259,"Rất tốt rất khỏe sự bùng nổ của 4 năm đại học luôn 
Nhưng RTX hơi ồn"
2260,"Nhân viên tư vấn rất tốt, sản phẩm đúng như mô tả"
